Term,Description
Agricultureencompasses crop andlivestock...,"Agricultureencompasses crop andlivestockproduction,aquaculture, andforestryfor food and non-food products. Agriculture was a key factor in the rise ofsedentaryhumancivilization, whereby farming ofdomesticatedspecies created foodsurplusesthat enabled people to live in cities. While humans started gathering grains at least 105,000 years ago, nascent farmers only began planting them around 11,500 years ago. Sheep, goats, pigs, and cattle were domesticated around 10,000 years ago. Plants were independently cultivated in at least 11 regions of the world. In the 20th century,industrial agriculturebased on large-scalemonoculturescame to dominate agricultural output."
"As of 2021[update],small farmsproduce ab...","As of 2021[update],small farmsproduce about one-third of the world's food, but large farms are prevalent. The largest 1% of farms in the world are greater than 50 hectares (120 acres) and operate more than 70% of the world's farmland. Nearly 40% of agricultural land is found on farms larger than 1,000 hectares (2,500 acres). However, five of every six farms in the world consist of fewer than 2 hectares (4.9 acres), and take up only around 12% of all agricultural land. Farms and farming greatly influencerural economicsand greatly shaperural society, effecting both the directagricultural workforceand broaderbusinessesthat support the farms and farming populations."
The major agricultural products can be b...,"The major agricultural products can be broadly grouped intofoods,fibers,fuels, andraw materials(such asrubber). Food classes includecereals(grains),vegetables,fruits,cooking oils,meat,milk,eggs, andfungi. Global agricultural production amounts to approximately 11 billion tonnes of food, 32 million tonnes of natural fibers and 4 billion m3of wood. However, around 14% of the world's food is lost from production before reaching the retail level."
"Modernagronomy,plant breeding,agrochemic...","Modernagronomy,plant breeding,agrochemicalssuch aspesticidesandfertilizers, and technological developments have sharply increasedcrop yields, but also contributed toecological and environmental damage.Selective breedingand modern practices inanimal husbandryhave similarly increased the output of meat, but have raised concerns aboutanimal welfareand environmental damage. Environmental issues includecontributions to climate change, depletion ofaquifers,deforestation,antibiotic resistance, andother agricultural pollution. Agriculture is both a cause of and sensitive toenvironmental degradation, such asbiodiversity loss,desertification,soil degradation, andclimate change, all of which can cause decreases in crop yield.Genetically modified organismsare widely used, althoughsome countries ban them. (Full article...)"
A wide range of agriculture is practiced...,"A wide range of agriculture is practiced in Canada, from sprawling wheat fields of theprairiesto summer produce of theOkanagan valley.  In thefederal government, overview of Canadian agriculture is the responsibility of thedepartment of Agriculture and Agri-Food."
Agriculture in Canada comprises five mai...,Agriculture in Canada comprises five main agricultural production sectors of commodity production resulting in farm cash receipts from both domestic and foreign markets.
"Horticulturewhich includes garden crops,...","Horticulturewhich includes garden crops, and fruits became easier to grow with the development of planthardiness zones."
"Apples,pears,plumsandprunes,peaches,apri...","Apples,pears,plumsandprunes,peaches,apricots,cherries,strawberries,raspberries,loganberriesand fruit orchards are numerous and reach commercial size in theAnnapolis Valleyof Nova Scotia, New Brunswick, Quebec,Niagara PeninsulaandNorfolk Countyof Ontario andOkanagan ValleyofBritish Columbia."
Hazelnutsare harvested inEastern Canadaa...,"Hazelnutsare harvested inEastern Canadaand British Columbia.Maple syrupand maple sugar, maple butter, and maple taffy are products of Quebec along theSt. Lawrence River.  The main market for Canadian maple syrup and sugar is the United States. Potatoes are an abundant harvest of theMaritime provinces.Sugar beetsand beet root sugar are harvested in Quebec, Ontario, Manitoba, and Alberta."
"115,000cattleroamed the southern prairie...","115,000cattleroamed the southern prairies by 1900.Livestockcan include the raising of cows, also commonly called cattle.  Recently domestication of thebuffaloandelkhas initiated a new food industry.Sheephave been raised for both wool and meat. Bovine or pig barns have been a part of livestock culture.  Scientists have been making forward steps in swine research giving rise tointensive pig farming.  Thedomesticationof various farm animals meant that corresponding industries such asfeedlots,animal husbandryandmeat processinghave also been studied, and developed. (Full article...)"
